Transaction,Item,date_time,period_day,weekday_weekend,Date,Month,Hour,Day_Name
1,Bread,2016-10-30 09:58:00,morning,weekend,2016-10-30,10,9,Sunday
2,Scandinavian,2016-10-30 10:05:00,morning,weekend,2016-10-30,10,10,Sunday
3,Hot Chocolate,2016-10-30 10:07:00,morning,weekend,2016-10-30,10,10,Sunday
3,Jam,2016-10-30 10:07:00,morning,weekend,2016-10-30,10,10,Sunday
3,Cookies,2016-10-30 10:07:00,morning,weekend,2016-10-30,10,10,Sunday
4,Muffin,2016-10-30 10:08:00,morning,weekend,2016-10-30,10,10,Sunday
5,Coffee,2016-10-30 10:13:00,morning,weekend,2016-10-30,10,10,Sunday
5,Pastry,2016-10-30 10:13:00,morning,weekend,2016-10-30,10,10,Sunday
5,Bread,2016-10-30 10:13:00,morning,weekend,2016-10-30,10,10,Sunday
6,Medialuna,2016-10-30 10:16:00,morning,weekend,2016-10-30,10,10,Sunday
6,Pastry,2016-10-30 10:16:00,morning,weekend,2016-10-30,10,10,Sunday
6,Muffin,2016-10-30 10:16:00,morning,weekend,2016-10-30,10,10,Sunday
7,Medialuna,2016-10-30 10:19:00,morning,weekend,2016-10-30,10,10,Sunday
7,Pastry,2016-10-30 10:19:00,morning,weekend,2016-10-30,10,10,Sunday
7,Coffee,2016-10-30 10:19:00,morning,weekend,2016-10-30,10,10,Sunday
7,Tea,2016-10-30 10:19:00,morning,weekend,2016-10-30,10,10,Sunday
8,Pastry,2016-10-30 10:20:00,morning,weekend,2016-10-30,10,10,Sunday
8,Bread,2016-10-30 10:20:00,morning,weekend,2016-10-30,10,10,Sunday
9,Bread,2016-10-30 10:21:00,morning,weekend,2016-10-30,10,10,Sunday
9,Muffin,2016-10-30 10:21:00,morning,weekend,2016-10-30,10,10,Sunday
10,Scandinavian,2016-10-30 10:25:00,morning,weekend,2016-10-30,10,10,Sunday
10,Medialuna,2016-10-30 10:25:00,morning,weekend,2016-10-30,10,10,Sunday
11,Bread,2016-10-30 10:27:00,morning,weekend,2016-10-30,10,10,Sunday
11,Medialuna,2016-10-30 10:27:00,morning,weekend,2016-10-30,10,10,Sunday
12,Jam,2016-10-30 10:30:00,morning,weekend,2016-10-30,10,10,Sunday
12,Coffee,2016-10-30 10:30:00,morning,weekend,2016-10-30,10,10,Sunday
12,Tartine,2016-10-30 10:30:00,morning,weekend,2016-10-30,10,10,Sunday
12,Pastry,2016-10-30 10:30:00,morning,weekend,2016-10-30,10,10,Sunday
12,Tea,2016-10-30 10:30:00,morning,weekend,2016-10-30,10,10,Sunday
13,Basket,2016-10-30 10:31:00,morning,weekend,2016-10-30,10,10,Sunday
13,Bread,2016-10-30 10:31:00,morning,weekend,2016-10-30,10,10,Sunday
13,Coffee,2016-10-30 10:31:00,morning,weekend,2016-10-30,10,10,Sunday
14,Bread,2016-10-30 10:32:00,morning,weekend,2016-10-30,10,10,Sunday
14,Medialuna,2016-10-30 10:32:00,morning,weekend,2016-10-30,10,10,Sunday
14,Pastry,2016-10-30 10:32:00,morning,weekend,2016-10-30,10,10,Sunday
15,Mineral Water,2016-10-30 10:34:00,morning,weekend,2016-10-30,10,10,Sunday
15,Scandinavian,2016-10-30 10:34:00,morning,weekend,2016-10-30,10,10,Sunday
16,Bread,2016-10-30 10:37:00,morning,weekend,2016-10-30,10,10,Sunday
16,Medialuna,2016-10-30 10:37:00,morning,weekend,2016-10-30,10,10,Sunday
16,Coffee,2016-10-30 10:37:00,morning,weekend,2016-10-30,10,10,Sunday
17,Hot Chocolate,2016-10-30 10:38:00,morning,weekend,2016-10-30,10,10,Sunday
